____VehicleSample__
hhID,vehIDinHH,hhWt,nTrips
1035198,3,303.74908,1
___Trip_
gID,dayID,idInDay,secsFromLastTrip,numRecSteps,miles,year,month,day,hr24,min,sec,numPayloadAdjust
0,0,0,30625,9366,130.21385,2012,5,25,5,46,23,1
tStepID,payloadKg
0,0.0
speedMPH,fltGrade,recAuxKW
67.3,-0.0073252274,0.0
66.8,-0.0078079165,0.0
65.6,-0.006195453,0.0
64.8,-0.003108897,0.0
63.1,-8.741679E-5,0.0
61.2,0.0017004154,0.0
60.6,0.002091274,0.0
60.6,0.0015403535,0.0
60.8,4.8174753E-4,0.0
61.0,-7.987702E-4,0.0
60.9,-0.0018993639,0.0
60.5,-0.0023835017,0.0
59.3,-0.0023559206,0.0
58.3,-0.0025441817,0.0
56.9,-0.0032320973,0.0
55.0,-0.0033263653,0.0
53.8,-0.0012464012,0.0
52.0,0.0031103524,0.0
50.7,0.0077700084,0.0
50.0,0.010227529,0.0
48.6,0.009461737,0.0
48.5,0.0065548946,0.0
49.3,0.00371346,0.0
48.7,0.0028869885,0.0
48.9,0.00503017,0.0
48.9,0.010039749,0.0
48.9,0.01693103,0.0
49.0,0.023993071,0.0
48.3,0.029034317,0.0
47.1,0.030122206,0.0
46.0,0.026753154,0.0
45.0,0.020457504,0.0
45.0,0.013966076,0.0
45.8,0.009465678,0.0
48.6,0.0074473857,0.0
46.3,0.0069440077,0.0
47.8,0.0065839696,0.0
49.1,0.005524493,0.0
49.7,0.0038537052,0.0
50.7,0.0024469325,0.0
51.6,0.002400413,0.0
52.8,0.0044130315,0.0
51.9,0.008530254,0.0
52.2,0.014176987,0.0
51.5,0.020181578,0.0
51.1,0.024905128,0.0
50.1,0.026736073,0.0
47.8,0.024823744,0.0
43.2,0.019580608,0.0
38.0,0.012518549,0.0
33.8,0.005446197,0.0
32.1,-3.9468007E-4,0.0
31.6,-0.004615971,0.0
31.6,-0.0073221684,0.0
34.8,-0.008569623,0.0
38.1,-0.008100015,0.0
39.2,-0.0055322996,0.0
41.4,-8.9850754E-4,0.0
42.9,0.0049223104,0.0
43.9,0.010332046,0.0
44.0,0.013736042,0.0
44.2,0.014423861,0.0
43.4,0.012998564,0.0
42.1,0.011025764,0.0
41.0,0.010158035,0.0
38.7,0.011314903,0.0
36.1,0.0143639045,0.0
34.3,0.018391963,0.0
32.8,0.022258041,0.0
31.4,0.025056083,0.0
29.9,0.026385332,0.0
28.6,0.026396735,0.0
28.5,0.025582232,0.0
29.7,0.024445778,0.0
30.9,0.023282684,0.0
31.1,0.022183891,0.0
31.4,0.021174045,0.0
31.8,0.020289108,0.0
31.7,0.019541502,0.0
30.8,0.018887995,0.0
30.0,0.018306598,0.0
29.0,0.017942468,0.0
27.4,0.018127892,0.0
26.6,0.01915231,0.0
26.3,0.020930724,0.0
26.4,0.022880893,0.0
26.4,0.024180863,0.0
23.5,0.02422826,0.0
21.9,0.022939064,0.0
20.2,0.020691497,0.0
17.6,0.01800121,0.0
16.6,0.015212924,0.0
16.3,0.012459259,0.0
18.4,0.009779833,0.0
19.4,0.0071380585,0.0
21.3,0.0044084727,0.0
23.5,0.0015077828,0.0
25.0,-0.0014428486,0.0
24.9,-0.004091479,0.0
23.1,-0.005977379,0.0
22.1,-0.0067044464,0.0
22.8,-0.006037021,0.0
24.6,-0.003906717,0.0
26.3,-4.6018139E-4,0.0
26.2,0.0038163222,0.0
25.1,0.008117209,0.0
20.4,0.0116614085,0.0
16.0,0.014072038,0.0
13.6,0.015406335,0.0
12.3,0.015944159,0.0
11.3,0.015994744,0.0
10.899999,0.015773296,0.0
10.699999,0.015378609,0.0
10.199999,0.014859906,0.0
9.0,0.014255235,0.0
8.8,0.013594763,0.0
7.699999,0.01293684,0.0
7.3,0.012319992,0.0
9.199999,0.011684362,0.0
10.699999,0.010961128,0.0
11.5,0.010148142,0.0
12.5,0.009279928,0.0
13.8,0.008412808,0.0
14.699999,0.00760563,0.0
14.399999,0.006914273,0.0
13.899999,0.0063827643,0.0
14.199999,0.006018122,0.0
14.3,0.005806287,0.0
14.399999,0.005730999,0.0
14.199999,0.0057727885,0.0
14.899999,0.0059055854,0.0
15.5,0.0060784374,0.0
15.899999,0.0061920923,0.0
16.0,0.0060997773,0.0
15.8,0.0056371707,0.0
17.7,0.0046936464,0.0
20.2,0.0033180132,0.0
19.9,0.0017470494,0.0
19.8,2.9486837E-4,0.0
18.6,-7.92952E-4,0.0
17.3,-0.0014144449,0.0
16.2,-0.0016006873,0.0
16.0,-0.0014549809,0.0
16.8,-0.0010773638,0.0
17.8,-5.193753E-4,0.0
18.3,1.7552424E-4,0.0
17.9,9.0078346E-4,0.0
17.2,0.0015117376,0.0
16.6,0.0019173529,0.0
15.8,0.0021114047,0.0
15.1,0.0021429404,0.0
14.3,0.0020866615,0.0
13.3,0.0020152752,0.0
13.1,0.0019736362,0.0
14.1,0.0019635803,0.0
15.899999,0.0019365838,0.0
17.9,0.0018007052,0.0
18.8,0.0014421832,0.0
19.7,7.526376E-4,0.0
19.6,-3.3655338E-4,0.0
19.2,-0.0018095948,0.0
18.8,-0.003537253,0.0
19.1,-0.0053238687,0.0
19.3,-0.007014637,0.0
18.7,-0.008550575,0.0
17.5,-0.009947172,0.0
17.1,-0.011244723,0.0
18.2,-0.012440648,0.0
19.8,-0.01345784,0.0
21.1,-0.014168503,0.0
22.2,-0.014409766,0.0
22.2,-0.01402789,0.0
21.3,-0.012994034,0.0
20.3,-0.011476924,0.0
18.0,-0.009773497,0.0
15.6,-0.008184686,0.0
13.8,-0.0069526844,0.0
13.399999,-0.00622789,0.0
14.5,-0.0060650455,0.0
16.4,-0.0064913845,0.0
15.899999,-0.007570153,0.0
15.1,-0.009342055,0.0
14.399999,-0.0116634015,0.0
13.3,-0.014255242,0.0
12.699999,-0.016942162,0.0
13.5,-0.019635687,0.0
13.5,-0.022211153,0.0
12.899999,-0.024521476,0.0
12.8,-0.026435267,0.0
14.0,-0.027894137,0.0
15.0,-0.028895218,0.0
14.3,-0.02943499,0.0
13.399999,-0.029540507,0.0
13.0,-0.02926834,0.0
13.199999,-0.028660173,0.0
14.399999,-0.027739817,0.0
16.4,-0.02647888,0.0
18.1,-0.024780639,0.0
18.7,-0.022644825,0.0
17.6,-0.020275416,0.0
16.1,-0.01789342,0.0
14.5,-0.015590723,0.0
12.399999,-0.01343034,0.0
12.399999,-0.0114653325,0.0
14.3,-0.009649715,0.0
15.1,-0.007921533,0.0
14.899999,-0.0062908754,0.0
15.8,-0.0048023025,0.0
15.6,-0.0035225735,0.0
14.699999,-0.0024958712,0.0
13.699999,-0.0016905931,0.0
13.899999,-0.0010340646,0.0
15.0,-4.1860866E-4,0.0
16.4,3.127969E-4,0.0
18.0,0.0013135781,0.0
19.5,0.0026939523,0.0
19.8,0.0045156996,0.0
19.5,0.0067618126,0.0
19.4,0.009300475,0.0
19.9,0.011870794,0.0
21.1,0.01412524,0.0
22.8,0.015751123,0.0
23.5,0.016580932,0.0
21.6,0.016620269,0.0
19.5,0.016025692,0.0
17.5,0.015034553,0.0
16.8,0.013836708,0.0
17.0,0.01248597,0.0
17.2,0.010962823,0.0
17.3,0.009295108,0.0
17.5,0.007532817,0.0
18.0,0.005626552,0.0
20.8,0.0034319656,0.0
23.3,8.3580974E-4,0.0
23.4,-0.0021736752,0.0
21.9,-0.0055482294,0.0
21.9,-0.009231746,0.0
23.5,-0.01311767,0.0
23.5,-0.016950862,0.0
23.1,-0.020317486,0.0
23.9,-0.022775903,0.0
25.4,-0.024040235,0.0
26.7,-0.024092942,0.0
27.7,-0.023139333,0.0
27.4,-0.021440867,0.0
28.2,-0.019192167,0.0
27.5,-0.01651771,0.0
26.3,-0.013517818,0.0
27.4,-0.01032918,0.0
30.3,-0.0072044274,0.0
34.9,-0.0045409887,0.0
37.6,-0.0027663657,0.0
37.2,-0.0020667221,0.0
35.8,-0.0020808005,0.0
35.3,-0.0018501361,0.0
35.8,-2.398513E-4,0.0
36.4,0.0034170938,0.0
37.4,0.008961145,0.0
39.0,0.0155573655,0.0
40.8,0.022217194,0.0
42.6,0.028307632,0.0
44.0,0.033673685,0.0
42.6,0.038448635,0.0
40.3,0.042849194,0.0
39.6,0.04702748,0.0
40.6,0.050981384,0.0
41.5,0.054570444,0.0
42.2,0.057591897,0.0
42.9,0.059829872,0.0
43.4,0.061068248,0.0
44.2,0.06108284,0.0
45.0,0.059609074,0.0
45.8,0.056335904,0.0
46.5,0.051024243,0.0
47.4,0.043751903,0.0
48.2,0.035116747,0.0
49.1,0.02618117,0.0
50.2,0.018120017,0.0
51.1,0.011813492,0.0
52.3,0.0076766424,0.0
54.7,0.005751397,0.0
56.1,0.0057825013,0.0
58.0,0.0070211687,0.0
59.8,0.008053431,0.0
61.6,0.0073458976,0.0
63.4,0.004420218,0.0
65.1,4.068464E-4,0.0
66.0,-0.0028746391,0.0
66.9,-0.0043924954,0.0
66.2,-0.00439074,0.0
65.3,-0.003728494,0.0
64.9,-0.0030906447,0.0
64.5,-0.0027089275,0.0
63.8,-0.0024689976,0.0
63.0,-0.0021008954,0.0
62.2,-0.0013311825,0.0
61.6,-2.8912327E-5,0.0
61.7,0.0016057845,0.0
62.3,0.0028407618,0.0
63.1,0.0023774188,0.0
63.9,-0.0012032986,0.0
64.6,-0.008402207,0.0
65.2,-0.017759431,0.0
65.8,-0.025895948,0.0
66.3,-0.02913104,0.0
66.7,-0.025689758,0.0
67.2,-0.016546598,0.0
67.5,-0.0042613773,0.0
67.6,0.008278412,0.0
67.4,0.017827587,0.0
66.2,0.021179888,0.0
64.3,0.017289845,0.0
62.3,0.0089052655,0.0
60.4,0.0012148755,0.0
59.1,-0.0015938497,0.0
58.4,0.0013460638,0.0
58.1,0.008282781,0.0
58.0,0.017122839,0.0
57.6,0.026606726,0.0
57.4,0.035846293,0.0
57.0,0.0437133,0.0
56.4,0.049103115,0.0
56.0,0.051577248,0.0
56.8,0.05148563,0.0
56.5,0.04952745,0.0
57.4,0.046348576,0.0
57.9,0.04249565,0.0
58.3,0.038529858,0.0
58.4,0.035030242,0.0
59.2,0.03247269,0.0
60.4,0.031137645,0.0
59.1,0.031141555,0.0
59.6,0.0325062,0.0
60.4,0.035105985,0.0
61.1,0.038511947,0.0
61.8,0.041974276,0.0
62.7,0.04468771,0.0
63.4,0.046173587,0.0
64.2,0.046493717,0.0
65.0,0.046134014,0.0
65.9,0.045661785,0.0
65.8,0.045459893,0.0
66.1,0.04570352,0.0
66.3,0.04644204,0.0
66.6,0.047576427,0.0
66.9,0.0487852,0.0
67.1,0.049661748,0.0
67.2,0.050039936,0.0
67.2,0.050106976,0.0
67.1,0.0501576,0.0
66.6,0.050273437,0.0
65.7,0.05012573,0.0
64.0,0.049107037,0.0
62.6,0.046985164,0.0
62.1,0.044382125,0.0
61.8,0.042269707,0.0
61.7,0.041123893,0.0
61.6,0.04071484,0.0
61.0,0.04042818,0.0
59.5,0.039624423,0.0
58.5,0.0378853,0.0
58.4,0.03517071,0.0
58.6,0.031816166,0.0
59.0,0.028280258,0.0
59.8,0.024832109,0.0
60.4,0.02160562,0.0
61.0,0.019147286,0.0
59.6,0.01886149,0.0
57.8,0.022462633,0.0
55.9,0.030472755,0.0
55.5,0.04117448,0.0
55.4,0.051271018,0.0
55.4,0.05765815,0.0
54.3,0.05874806,0.0
54.5,0.05480087,0.0
54.7,0.047657833,0.0
54.3,0.040153906,0.0
53.6,0.035123654,0.0
53.6,0.03401353,0.0
54.2,0.03593366,0.0
54.9,0.038278088,0.0
55.4,0.038644552,0.0
56.2,0.036290735,0.0
56.6,0.032013416,0.0
56.7,0.027190536,0.0
57.0,0.023094313,0.0
58.6,0.020554071,0.0
59.8,0.019722484,0.0
60.5,0.020092221,0.0
61.1,0.020819865,0.0
61.6,0.021112451,0.0
61.2,0.020483073,0.0
59.5,0.018847363,0.0
58.2,0.016495178,0.0
54.3,0.013952141,0.0
50.4,0.011749322,0.0
48.6,0.010234435,0.0
49.7,0.009576014,0.0
51.4,0.00990268,0.0
52.9,0.011382004,0.0
54.4,0.014125237,0.0
56.1,0.017975826,0.0
57.7,0.022386694,0.0
59.2,0.026564246,0.0
60.3,0.029826391,0.0
61.0,0.03190531,0.0
59.8,0.03296412,0.0
57.9,0.033363838,0.0
57.2,0.033415046,0.0
57.8,0.033290856,0.0
58.6,0.033085342,0.0
59.5,0.032887407,0.0
60.5,0.032783482,0.0
61.0,0.03281689,0.0
59.7,0.03298099,0.0
58.6,0.033266224,0.0
59.2,0.033690173,0.0
59.8,0.03422821,0.0
60.2,0.03465835,0.0
60.8,0.034422047,0.0
61.0,0.032619216,0.0
61.5,0.028303044,0.0
62.0,0.021235427,0.0
62.8,0.012845024,0.0
63.8,0.006358453,0.0
64.9,0.005066318,0.0
64.7,0.009572063,0.0
63.4,0.016841706,0.0
62.8,0.022372216,0.0
63.5,0.023266472,0.0
63.8,0.019513901,0.0
63.4,0.013200201,0.0
63.0,0.0068881596,0.0
63.2,0.0023138681,0.0
62.2,-2.7600443E-5,0.0
61.4,-5.210772E-4,0.0
61.0,1.4405377E-4,0.0
61.5,0.001352157,0.0
61.9,0.0027765804,0.0
62.6,0.0045773154,0.0
64.4,0.007324553,0.0
65.1,0.011213751,0.0
66.1,0.015078411,0.0
66.9,0.016728295,0.0
68.3,0.014888524,0.0
68.6,0.010681698,0.0
68.2,0.0070289345,0.0
69.3,0.0067215664,0.0
79.1,0.010568042,0.0
73.0,0.016497826,0.0
70.3,0.020601781,0.0
70.4,0.020103926,0.0
70.1,0.01568375,0.0
71.3,0.010553094,0.0
71.2,0.0074618342,0.0
71.5,0.006959138,0.0
72.1,0.008043794,0.0
72.8,0.009635311,0.0
73.2,0.0112487525,0.0
70.8,0.012790656,0.0
64.4,0.014256129,0.0
61.3,0.015699822,0.0
61.3,0.017240236,0.0
60.0,0.018899692,0.0
57.7,0.020438334,0.0
52.9,0.021396063,0.0
49.2,0.021306364,0.0
47.6,0.019886412,0.0
44.5,0.017116137,0.0
41.4,0.0132342605,0.0
40.0,0.008642313,0.0
40.8,0.0037317653,0.0
42.1,-0.0012279961,0.0
43.6,-0.006047815,0.0
45.0,-0.010518665,0.0
46.3,-0.014363974,0.0
47.5,-0.01721616,0.0
48.4,-0.018614583,0.0
46.8,-0.018161584,0.0
51.4,-0.015847087,0.0
53.1,-0.012256788,0.0
54.4,-0.008407085,0.0
55.6,-0.0052806446,0.0
